Price,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,AGRI.BO,JK,AGRI.BO,JK,AGRI.BO,JK,AGRI.BO,JK,AGRI.BO,JK,AGRI.BO,JK
Date,,,,,,,,,,,,
