Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,268.0,270.0,264.1499938964844,265.5,217.02755737304688,20129
2005-01-04,266.5,267.8500061035156,261.04998779296875,262.95001220703125,214.94314575195312,26136
2005-01-05,264.95001220703125,264.95001220703125,236.0,248.64999389648438,203.25387573242188,36324
2005-01-06,254.89999389648438,254.89999389648438,232.60000610351562,240.4499969482422,196.5509490966797,54227
2005-01-07,244.75,247.85000610351562,240.0,245.60000610351562,200.7607421875,31074
2005-01-10,248.14999389648438,259.0,246.5,254.64999389648438,208.15843200683594,21530
2005-01-11,255.0,258.0,245.0,248.14999389648438,202.84518432617188,16432
2005-01-12,249.60000610351562,251.0,229.0500030517578,232.25,189.84803771972656,26649
2005-01-13,240.0,247.0,235.25,240.35000610351562,196.46923828125,16578
2005-01-14,244.5,244.6999969482422,236.5,240.25,196.387451171875,15628
2005-01-17,239.60000610351562,240.6999969482422,228.5500030517578,231.1999969482422,188.98976135253906,16314
2005-01-18,234.6999969482422,240.0,231.0,231.75,189.43934631347656,15750
2005-01-19,233.5,236.0,230.5500030517578,231.8000030517578,189.4801788330078,9925
2005-01-20,231.6999969482422,232.0,224.0,229.1999969482422,187.3549041748047,17982
2005-01-24,229.0,229.0,212.0,215.64999389648438,176.27870178222656,17051
2005-01-25,213.0,215.0,207.10000610351562,208.35000610351562,170.31146240234375,42566
2005-01-27,210.8000030517578,226.89999389648438,209.5,223.6999969482422,182.85899353027344,114883
2005-01-28,226.89999389648438,231.64999389648438,225.10000610351562,227.85000610351562,186.2513427734375,38539
2005-01-31,229.6999969482422,241.0,229.6999969482422,231.3000030517578,189.0714874267578,30460
2005-02-01,229.0,229.0,216.0,218.4499969482422,178.56752014160156,33796
2005-02-02,219.9499969482422,224.89999389648438,218.0500030517578,219.35000610351562,179.30322265625,26518
2005-02-03,220.6999969482422,223.0,219.10000610351562,221.60000610351562,181.14242553710938,26584
2005-02-04,223.4499969482422,238.0,221.0,235.0,192.09597778320312,112190
2005-02-07,238.89999389648438,245.5,233.0500030517578,238.3000030517578,194.79351806640625,76749
2005-02-08,240.0,245.4499969482422,239.0,242.75,198.43104553222656,40773
2005-02-09,245.4499969482422,248.0,240.10000610351562,241.75,197.61363220214844,18830
2005-02-10,244.6999969482422,244.6999969482422,234.60000610351562,236.25,193.1177520751953,14601
2005-02-11,239.6999969482422,240.9499969482422,232.0,233.85000610351562,191.15594482421875,13385
2005-02-14,237.6999969482422,237.89999389648438,233.14999389648438,235.1999969482422,192.2594451904297,13994
2005-02-15,230.10000610351562,235.0,226.5,227.6999969482422,186.12872314453125,11957
2005-02-16,229.89999389648438,232.64999389648438,223.5500030517578,224.6999969482422,183.6764373779297,19938
2005-02-17,223.6999969482422,224.0,218.5500030517578,220.0500030517578,179.8754119873047,15878
2005-02-18,222.64999389648438,226.0,221.0,223.60000610351562,182.7772674560547,12709
2005-02-21,222.5500030517578,228.0,222.10000610351562,223.14999389648438,182.40940856933594,14603
2005-02-22,223.6999969482422,225.0500030517578,218.0500030517578,219.39999389648438,179.3440704345703,11132
2005-02-23,219.8000030517578,235.0,219.8000030517578,228.3000030517578,186.6191864013672,29644
2005-02-24,231.6999969482422,232.0,222.60000610351562,223.64999389648438,182.81814575195312,11462
2005-02-25,227.0,239.89999389648438,226.0,235.6999969482422,192.66818237304688,88923
2005-02-28,238.8000030517578,249.89999389648438,232.0,233.1999969482422,190.62460327148438,92219
2005-03-01,235.0,239.0,229.35000610351562,230.10000610351562,188.090576171875,22888
2005-03-02,231.6999969482422,235.0,230.0,230.89999389648438,188.74449157714844,16210
2005-03-03,232.3000030517578,241.89999389648438,231.0,239.5500030517578,195.8152618408203,28930
2005-03-04,242.0,246.0,238.0,239.8000030517578,196.01963806152344,49161
2005-03-07,240.0,243.0,233.0,233.60000610351562,190.95156860351562,14358
